time,12901,13217,16211,13745,46884,13435,25741,24002,total,guo1,guo2,guo3,guo4,guo5,guo6,guo7,guo8
2020/6/4 11:00,13.25,18.83333333,13,0.083333333,0.5,1,30.33333333,12.91666667,11.23958333,8.25,5.75,12.91666667,18.58333333,17.41666667,19.41666667,15.91666667,8.833333333
2020/6/4 12:00,13.83333333,16.91666667,4.666666667,11.75,25.91666667,14.33333333,19.75,8.55,14.38630319,15.83333333,20.33333333,15.75,11,24.75,17.41666667,22.91666667,14.5
2020/6/4 13:00,17,16.08333333,2.333333333,-13.41666667,5.916666667,3,0,8.533333333,5.009530142,11.41666667,13.16666667,16.75,17.58333333,17.75,22.5,17.91666667,-10.76515152
2020/6/4 14:00,10.58333333,21.08333333,-9.75,14.25,-9.25,-6.416666667,5.25,4.75,3.8125,23.41666663,13.5,13.25,15.66666667,3.25,-0.166666667,3.25,211.8484848
2020/6/4 15:00,-0.666666667,4.833333333,4.5,-3.5,-6.75,0.666666667,9.333333333,-1.333333333,0.885416667,-8.25,-9.416666667,-11.41666667,-3.666666667,10.91666667,9.75,10.66666667,-154.6666667
2020/6/4 16:00,-24.83333333,-24.5,-4.583333333,-14,12.5,10.16666667,-17.5,-20.91666667,-10.45833333,-3.4166666,-7,1.75,-11.16666667,-7.75,-1.5,-4.416666667,-16.25
2020/6/4 17:00,-13,-17.41666667,-8.333333333,3.083333333,-16.58333333,-25.41666667,10.83333333,-8.583333333,-9.427083333,-4.6666667,153.6666667,-6.833333333,-1.333333333,-12.91666667,-12,-13.33333333,-9.833333333
2020/6/4 18:00,-24.33333333,-28.58333333,-15.91666667,-22.83333333,-19.5,-10.5,-16.08333333,-13.33333333,-18.88541667,-15.66666667,-171.3333333,-17.25,-9.25,-12.91666667,-17.16666667,-16.25,-20.75
2020/6/4 19:00,-8,-11.25,-9.25,-5.666666667,-8.5,-7.75,7.333333333,-14.58333333,-7.208333333,-15.75,-14.25,-13.5,-19.08333333,-17.75,-18.5,-13.41666667,-12
2020/6/4 20:00,-17.33333333,-13.83333333,0.5,-8.666666667,-12.91666667,-7.916666667,-10.33333333,-21,-10.4375,-16.75,-18.08333333,-19.66666667,-19.25,-11.75,-8.333333333,-9.25,-24.08333333
2020/6/4 21:00,-11,-17.33333333,0.833333333,-5.583333333,-8.083333333,-1,-19.41666667,-3.333333333,-8.057471264,-10.41666666,-24.91666667,-7.25,-0.5,-10.25,-26.58333333,-10.08333333,-15.41666667
